"M2_6","Inflation_m","Inflation_y","GDP_m","Unemployment","PPI_y","PMI_comp_6","PMI_comp","Ruble_rate","Urals_cost","Budget_balance","Government_spending_growth","Inflation_expectantions","Anchor","Was","Key_rate","Date","M2","Toughness","Exceeding","PPI_y_3","GDP_m_6","Inflation_m_3","Real_ruble_rate","Iflation_us","Real_ruble_rate","hh-index","Nominal_wage","Wage_pressure","Nairy","Un_gap","Government_growth_corrected","credit_economy","credit_economy_mom_pct","credit_economy_yoy_pct","credit_economy_delta_mom_pp","credit_economy_delta_yoy_pp","claims_to_organizations_trn_rub","claims_to_organizations_mom_pct","claims_to_organizations_yoy_pct","claims_to_organizations_delta_mom_pp","claims_to_organizations_delta_yoy_pp","claims_to_households_trn_rub","claims_to_households_mom_pct","claims_to_households_yoy_pct","claims_to_households_delta_mom_pp","claims_to_households_delta_yoy_pp"
"0.70","0.96","9.80","-2.70","5.80","7.30","0.60","50.60","76.50","32.80","-3.40","5.10","16.70","1.00","1.00","11.00","2/28/2016","-3.40","-5.70","5.80","7.30","-1.60","0.96","-12.20","1.37","2.40","7.20","32660.00","-4.20","5.50","0.30","-4.70","52.90","3.70","9.20","2.50","-2.10","41.30","4.80","14.20","3.20","-3.60","11.60","0.10","-5.70","0.40","0.60"
"1.00","0.63","8.10","0.00","5.80","3.50","0.70","50.80","75.90","36.90","-3.40","5.10","15.70","0.00","1.00","11.00","3/28/2016","1.00","-5.70","4.10","5.40","-1.30","0.76","-11.20","1.02","13.62","6.90","33873.00","0.03","5.52","0.28","-3.00","53.20","0.60","5.90","-3.10","-3.30","41.60","0.90","9.50","-3.90","-4.70","11.60","-0.50","-5.50","-0.60","0.20"
"1.10","0.46","7.30","-1.20","6.00","2.10","0.90","51.30","68.60","40.60","-3.40","5.10","14.70","1.00","1.00","11.00","4/28/2016","1.10","-5.00","3.30","4.30","-1.30","0.68","-10.50","0.85","9.33","7.20","35501.00","1.46","5.54","0.46","-2.20","53.10","-0.30","7.70","-0.90","1.80","41.50","-0.30","11.60","-1.20","2.10","11.60","-0.20","-4.20","0.30","1.30"
"1.20","0.44","7.30","-0.80","5.90","1.30","1.10","51.20","65.90","45.20","-3.40","5.10","14.60","0.00","0.00","11.00","5/28/2016","1.20","-4.70","3.30","2.30","-1.00","0.51","-11.80","1.13","16.76","6.80","36497.00","-1.13","5.56","0.34","-2.20","52.20","-1.70","7.80","-1.40","0.10","40.60","-2.00","11.40","-1.70","-0.20","11.50","-0.50","-3.30","-0.30","0.90"
"1.50","0.41","7.30","-0.60","5.60","3.70","2.00","53.50","66.00","49.80","-3.40","5.10","13.60","0.00","1.00","10.50","6/28/2016","1.50","-4.43","3.30","2.37","-0.80","0.44","-13.10","1.02","14.75","6.50","37270.00","1.11","5.58","0.02","-2.20","52.00","-0.30","9.10","1.40","1.30","40.50","-0.30","12.90","1.70","1.50","11.50","-0.20","-2.40","0.30","0.90"
"0.60","0.36","7.50","-0.50","5.40","5.10","2.53","52.90","64.80","48.70","-3.40","5.10","14.20","1.00","1.00","10.50","7/28/2016","0.60","-3.78","3.50","3.37","-0.97","0.40","-12.80","1.00","8.80","5.50","38447.00","1.12","5.63","-0.23","-2.40","52.30","0.60","9.50","0.90","0.40","40.80","0.70","13.20","1.00","0.30","11.50","0.20","-1.60","0.40","0.80"
"0.98","0.54","7.20","-0.80","5.30","4.50","3.17","53.10","65.00","45.40","-3.40","5.10","14.30","0.00","0.00","10.50","8/28/2016","0.50","-3.53","3.20","4.43","-0.65","0.44","-11.80","0.83","3.51","5.20","35888.00","-1.34","5.69","-0.39","-2.10","52.10","-0.50","7.90","-1.10","-1.60","40.50","-0.60","10.90","-1.30","-2.30","11.50","0.00","-1.20","-0.20","0.40"
"0.88","0.01","6.90","0.20","5.20","2.90","3.23","53.70","64.70","48.70","-3.40","5.10","12.60","0.00","1.00","10.00","9/28/2016","0.40","-3.55","2.90","4.17","-0.62","0.30","-9.70","1.06","-8.69","5.40","35405.00","3.14","5.75","-0.55","-1.80","52.70","1.20","7.20","1.70","-0.70","41.10","1.40","9.70","2.00","-1.20","11.60","0.60","-0.60","0.60","0.60"
"0.68","0.17","6.40","-0.70","5.20","5.10","4.20","55.80","63.90","48.40","-3.40","5.10","14.20","1.00","1.00","10.00","10/28/2016","-0.10","-3.30","2.40","4.17","-0.53","0.24","-7.90","1.46","-8.71","5.80","35843.00","2.51","5.83","-0.63","-1.30","52.50","-0.50","2.20","-1.70","-5.00","40.90","-0.60","3.00","-2.00","-6.70","11.60","0.10","-0.70","-0.50","-0.10"
"0.43","0.43","6.10","-0.60","5.40","3.00","5.37","56.60","63.00","48.20","-3.40","5.10","12.30","0.00","0.00","10.00","11/28/2016","-0.30","-3.58","2.10","3.67","-0.50","0.20","-6.60","1.64","-6.66","6.70","35749.00","1.07","5.90","-0.50","-1.00","52.30","-0.30","3.60","0.20","1.40","40.60","-0.50","4.70","0.10","1.70","11.70","0.60","-0.30","0.50","0.40"
"0.37","0.45","5.80","0.90","5.40","4.30","6.90","58.30","64.00","50.60","-3.40","5.10","13.70","0.00","1.00","10.00","12/28/2016","1.10","-3.23","1.80","4.13","-0.25","0.35","-5.60","1.69","-7.68","7.30","36195.00","2.74","5.85","-0.45","-0.70","52.50","0.40","4.10","0.70","0.50","40.80","0.40","5.30","0.90","0.60","11.70","0.20","0.20","-0.40","0.50"
