rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;CLASS_UNIT;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;INCLUDEDBYMOEX;IS_QUALIFIED_INVESTORS;HIGH_RISK;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;SUSPENSION_LISTING;ISSUEDATE;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
ABIO;iАРТГЕН ао;"ПАО ""Артген""";Акции обыкновенные;RU000A0JNAB6;1-01-08902-A;;2;0,1;RUB;92645451;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;23.05.2006;2026-06-22;;;закрытие реестра (рекомендуемая);5184439437.96;5184439437.96;"Публичное акционерное общество ""Артген биотех""";7702508905;10;56,234;56,234;37,677;74,791;28,117;84,351;14,059;98,41;33,0;183433;50,0;917163;75,0;7,29000;5,96000;0;0
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акции обыкновенные;RU000A0JS5T7;1-02-12500-A;;3;1,0;RUB;108889117;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;02.10.2012;2025-07-07;5.01;0.0287;закрытие реестра;15810699788.4;15810699788.4;"Публичное акционерное общество ""Абрау – Дюрсо""";7727620673;10;144,913;144,913;97,092;192,734;72,457;217,37;36,228;253,598;33,0;55189;50,0;275947;75,0;6,03000;13,02000;0;0
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акции обыкновенные;RU000A0DQZE3;1-05-01669-A;;1;0,09;RUB;9650000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;12.12.2007;2024-07-17;0.52;0.0245;закрытие реестра;108514250000.0;108514250000.0;"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""";7703104630;100;11,3172;11,3172;8,4879;14,1465;7,8089;14,8255;7,0167;15,6177;25,0;17810969;31,0;89054845;38,0;8,78000;7,69000;0;0
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акции обыкновенные;RU0009062285;1-01-00010-A;;1;1,0;RUB;3975771215;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;13.02.2004;2025-07-18;5.27;0.0876;закрытие реестра;193341754185.45;193341754185.45;"Публичное акционерное общество ""Аэрофлот – российские авиалинии""";7712040126;10;48,777;48,777;36,583;60,971;33,656;63,898;30,242;67,312;25,0;5830593;31,0;29152965;38,0;7,85000;9,55000;0;0
AKRN;Акрон;Акрон ПАО ао;Акции обыкновенные;RU0009028674;1-03-00207-A;;2;5,0;RUB;36757156;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.10.2006;2025-12-09;;;закрытие реестра;733305262200.0;733305262200.0;"Публичное акционерное общество ""Акрон""";5321029508;1;20059,71;20059,71;13440,01;26679,41;11434,03;28685,39;9227,47;30891,95;33,0;642;43,0;3210;54,0;5,42000;7,94000;0;0
ALRS;АЛРОСА ао;АЛРОСА ПАО ао;Акции обыкновенные;RU0007252813;1-03-40046-N;;1;0,5;RUB;7364965630;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;29.11.2011;2024-10-19;2.49;0.0481;закрытие реестра;211521812893.6;211521812893.6;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";1433000147;10;28,828;28,828;21,621;36,035;19,891;37,765;17,873;39,783;25,0;2397714;31,0;11988570;38,0;7,60000;7,50000;0;0
AMEZ;АшинскийМЗ;Ашинский метзавод ПАО ао;Акции обыкновенные;RU000A0B88G6;1-03-45219-D;;3;1,0;RUB;498454822;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;0;0;0;0;28.08.2008;2024-09-28;77.0;0.7773;закрытие реестра;33919850637.1;33919850637.1;"Публичное акционерное общество ""Ашинский металлургический завод""";7401000473;100;67,4718;67,4718;0,0;134,9436;0,0;134,9436;0,0;134,9436;100,0;;;;;;;1;0
APRI;АПРИ;АПРИ;Акции обыкновенные;RU000A108LJ5;1-01-12464-K;;3;1,0;RUB;1115439217;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;30.07.2024;2025-07-15;0.59169517257;0.0429;;17512395706.9;17512395706.9;"Публичное акционерное общество ""АПРИ""";7453326003;10;15,838;15,838;0,0;31,676;0,0;31,676;0,0;31,676;100,0;;;;;11,14000;13,97000;1;0
APTK;Аптеки36и6;"ПАО ""Аптечная сеть 36,6"" ао";Акции обыкновенные;RU0008081765;1-01-07335-A;;2;0,64;RUB;7630433826;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;21.12.2005;;;;;55473253915.02;55473253915.02;"Публичное акционерное общество ""Аптечная сеть 36,6""";7722266450;10;7,256;7,256;3,628;10,884;1,451;13,061;0,363;14,149;50,0;1030609;80,0;5153045;95,0;7,41000;8,16000;0;0
AQUA;ИНАРКТИКА;ПАО ИНАРКТИКА;Акции обыкновенные;RU000A0JQTS3;1-01-04461-D;;1;100,0;RUB;87876649;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;16.04.2010;2025-07-07;10.0;0.016;закрытие реестра;35370351222.5;35370351222.5;"Публичное  акционерное общество ""ИНАРКТИКА""";7816430057;1;405,489;405,489;271,678;539,3;202,745;608,234;0,0;810,978;33,0;22156;50,0;110780;100,0;8,66000;12,25000;0;0
